Minimum requis,Regalien,Service Applicatif,Description,Rationnel Appli,Rationnel Appli Sanders NEA,Saipol,Lesieur,Solution SaaS (dispo via internet),Identifiant Avril (compte AD groupeavril.com),SSO Azure,Remarque
Niveau 2 : Advanced / Niveau 3 : Complete,x,BFC,Consolidation financière,,,,,,?,non,accès via MyCloudPC
Niveau 0,x,KYRIBA,Trésorerie,Paie + Kyriba,,,,oui,non,non,accès via MyCloudPC
Niveau 2 : Advanced ,x,MYTRAVEL ET EXPENSE NDF,Note de frais et gestion des déplacements,Paie + Kyriba,,,,oui,oui,oui,dependance fonctionnel pour paiement de ndf (SAP/…) (Attention exception Tellus--> compte locaux))
Niveau 2 : Advanced ,x,SAP FI/CO ,SAP Contrôle de gestion et comptabilité,Paie,"Gescom, Operra, Spec X (rplct. Espèce), SBCO",Operra,,non,oui,oui,
Niveau 2 : Advanced / Niveau 3 : Complete,x,"Lesieur SAP (FI/CO, SD MM, HUM, PM, PP, WM, QM, TRM?)",SAP production et régalien,,,,"FuturMaster, OTM",non,oui,oui,
Niveau 2 : Advanced / Niveau 3 : Complete,x,SAP FUNCTIONAL,Forfait SAP + TMA DXC + MS + hébergement,,,,,non,oui,oui,
Niveau 1 : Entry,x,PAIE,Outil de Paie,Cornerstone + GTA + Compta + KDS + Kyriba,,,,non,oui,non,
Niveau 2 : Advanced / Niveau 3 : Complete,x,MA GTA,Forfait Horoquartz + MS,PAIE + Cornerstone,,,,non,oui,oui,Condition : Reglementaire 
Niveau 2 : Advanced,x,BI4,Forfait BI4 SAP et TMA Next decision + MS Pierre Jean,,,SAP (Maintenance et Achat),,non,oui,oui,
,,ANAPLAN-ADMIN,Forfait Anaplan + MS,,,,,,,,
Niveau 0,,ANAPLAN,Forfait Anaplan + MS,,,,,oui,non,non,
Niveau 2 : Advanced,,ARCOLE,Forfait Talentia + MS,,,,,,,non,fin de vie
Niveau 0,,BLACKLINE,Forfait Blackline + TMA Cap,,,,,oui,non,non,"dependance fonctionnel à vérifer
Ghislaine : CSP Compta pour l'instant se pose la question de le garde"
Niveau 2 : Advanced,,ABEL,Forfait Abel + MS,,,,,non,oui,non,Fin de vie (confirmé avec Ghisaine)
,,Hoopiz -OUTIL DE CREDIT MANAGEMENT,Forfait Hoopiz + MS + amort,,,,,,,oui,pas de ticket - pas encore en prod ?
Niveau 2 : Advanced,,SAGE1000,Forfait Fournisseur Absys Cyborg. Amené à disparaitre au profit de SAP ou Microsoft Business central,,,,,,,non,en fin de vie => reste archivage
,,Soprabanking - OUTIL BANCAIRE,Forfait Soprabanking + Anadefi + MS,,,,,oui,,non,outils spécifique sofiproteol
Niveau 0,,ALIMENT,"Outil utilisé par Sanders facturé à Avril nutrition animale. Lié à la gescom. Pas vocation à être déployé sur d'autres BUs. Pas de licence, juste une TMA réalisée par Webnet + MS",Gescom,,,,oui,non,non,héberge CT mais accessible via internet pour tous les éleveurs
Niveau 1 : Entry,,Spaceman,solution de rayonnage lesieur (Panel Nielsen),,,,,non,non,non,dependance O365 (site sharepoint)
Niveau 2 : Advanced,,SOLVNET - OUTILS MARKETING ET CRM LESIEUR,Forfait + MS CRM Lesieur (Maintenance et TMA Outil Solvnet de Nomadia/ex B&B Market) + Spaceman (remplaçant de planomanager)/Nielsen + TMA decisionelle Anaplan 100% Lesieur,,,,,oui,oui,oui,
Niveau 2 : Advanced,,GESCOM/LORA,Forfait Radar + TMA cap + BDD Oracle + MS,SAP (FI/CO),,,,non,non,non, + lié à Mercure (actuellement mais pas dependant) + Aliment + Spec X (rplct Espece)
Niveau 1 : Entry,,ATLAS/AXIS QUALNET,"Forfait ex application ATLAS/AXIS (Saipol (GED + reclam client), Lesieur(seulement GED)…) + MS",,,,,oui,non,non,
Niveau 2 : Advanced,,MYTERRIAL,Forfait TMA Galilée + TMA cap MS,SAP(Terrial) puis BC,,,,non,oui,non,
Niveau 0,,OLEOMARKET,Licence Here et hébergement platform SH (Orange) + Licence PHPSTORM + MS,,,Operra (Contrat/commande),,oui,,non,
Niveau 0,,MERCURE,"Licence, maintenance et TMA par Azet network +MS",,Gescom,,,oui,non,non,"evolution à venir vers usage compte AD+SSO => passage en entry mini
Pour Sanders NEA : dependance de Gescom (ADV)
Mix : SAP"
Niveau 0,,PLIM,Forfait Keendoo + MS,,,,,oui,non,non,
